歌曲名,读音,调位,语言,出处,歌手,歌词
久别的人,,C#,国语歌曲,,白雪,
快点告诉你,,C#,国语歌曲,《动画城》主题曲,蓝沁,
里面外面,,C#,国语歌曲,,范晓萱,
情浓情淡,,C#,国语歌曲,,杨迎,
清明雨上,,C#,国语歌曲,,许嵩,
认真的雪,,C#,国语歌曲,,薛之谦,
日不落,,C#,国语歌曲,,蔡依林,
伤心雨,,C#,国语歌曲,,王子鸣,
绅士,,C#,国语歌曲,,薛之谦,
我们的歌,,C#,国语歌曲,,王力宏,
幸福万年长,,C#,国语歌曲,,汤灿,
隐形的翅膀,,C#,国语歌曲,,张韶涵,
雨蝶,,C#,国语歌曲,,李翊君,
月光,,C#,国语歌曲,,王心凌,
月亮代表我的心,,C#,国语歌曲,,邓丽君,
致自己,,C#,国语歌曲,,齐一,
最炫民族风,,C#,国语歌曲,,凤凰传奇,
"Answer
",,C#,外语歌曲,,,
Checkmate!?,,C#,外语歌曲,《粗点心战争》OP,,
Cinderella Syndrome,,C#,外语歌曲,,YUC’e,
"Everybody
",,C#,外语歌曲,,,
Grow Slowly,,C#,外语歌曲,《某科学的超电磁炮》ED,井口裕香,
Poker Face,,C#,外语歌曲,《黑白小姐》ED,,
"Sweet Home \~僕の帰る場所~
",,C#,外语歌曲,,,
"Trouble Maker
",,C#,外语歌曲,,,
"つまんない恋
",,C#,外语歌曲,,,
ナガレボシ,,C#,外语歌曲,《夜樱四重奏》ED,,
"A Rainy Morning ~Main Title~
",,C#,纯音乐,,,
"China-X
",,C#,纯音乐,,,
Five,,C#,纯音乐,《魔法使之夜》BGM,,
"K's Theme
",,C#,纯音乐,,,
"Luv Letter
",,C#,纯音乐,,,
"You
",,C#,纯音乐,,,
仗剑,,C#,纯音乐,,,
蒼崎青子,あおざきあおこ,C#,纯音乐,,,
"彩月-Saigetsu-
",,C#,纯音乐,,,
夏の大三角,なつのだいさんかく,C#,纯音乐,,,
"K歌之王
",,D,国语歌曲,,,
Lydia,,D,国语歌曲,,,
Super Star,,D,国语歌曲,,S.H.E,
爱的魔法,,D,国语歌曲,,金莎,
爱情三十六计,,D,国语歌曲,,蔡依林,
"爱要怎么说出口
",,D,国语歌曲,,,
北国之春,,D,国语歌曲,,蒋大为,
"北京欢迎你
",,D,国语歌曲,,,
"长相依
",,D,国语歌曲,,,
成都,,D,国语歌曲,,赵磊,
迟来的爱,,D,国语歌曲,,李茂山,
等待,,D,国语歌曲,,韩磊,我为什么还在等待
风吹麦浪,,D,国语歌曲,,孙俪&李健,
"橄榄树
",,D,国语歌曲,,,
干杯，朋友,,D,国语歌曲,,田震,
关不上的窗,,D,国语歌曲,,周传雄,
借口,,D,国语歌曲,,周杰伦,
矜持,,D,国语歌曲,,姚贝娜,
快乐的歌,,D,国语歌曲,,谢娜,
快乐老家,,D,国语歌曲,,陈明,
"兰亭序
",,D,国语歌曲,,,
泪海,,D,国语歌曲,,,
龙卷风,,D,国语歌曲,,邓紫棋,
美梦成真,,D,国语歌曲,,许茹芸,
梦里水乡,,D,国语歌曲,,江珊,
"母亲是中华
",,D,国语歌曲,,,
你知道我在等你吗,,D,国语歌曲,,迪克牛仔,
怒放的生命,,D,国语歌曲,,汪峰,
漂洋过海来看你,,D,国语歌曲,,娃娃,
千里之外,,D,国语歌曲,,周杰伦&费玉清,
取经归来,,D,国语歌曲,,蒋大为,
让我欢喜让我忧,,D,国语歌曲,,周华健,
如果这都不算爱,,D,国语歌曲,,张学友,
思念,,D,国语歌曲,,毛阿敏,你从哪里来
盛唐夜唱,,D,国语歌曲,,阿杰,
十二美人图,,D,国语歌曲,,秦岚,
思念是一种病,,D,国语歌曲,,张震岳&蔡健雅,
"踏浪
",,D,国语歌曲,,,
桃红,,D,国语歌曲,,陈红,又是一季春来早
天地在我心,,D,国语歌曲,,刘欢,
甜蜜蜜,,D,国语歌曲,,邓丽君,
"同一首歌
",,D,国语歌曲,,,
同桌的你,,D,国语歌曲,,老狼,
头号粉丝,,D,国语歌曲,,莫文蔚,
我绝对不说我爱你,,D,国语歌曲,,许茹芸,
我用自己的方式爱你,,D,国语歌曲,,陈明真,
无言的结局,,D,国语歌曲,,李茂山&林淑容,
"想你的三百六十五天
",,D,国语歌曲,,,
小情歌,,D,国语歌曲,,苏打绿,
"心愿
",,D,国语歌曲,,,
"心雨
",,D,国语歌曲,,,
"星月神话
",,D,国语歌曲,,,
一千年以后,,D,国语歌曲,,,
因为爱,,D,国语歌曲,,陶喆,
樱花草,,D,国语歌曲,,,
"又见炊烟
",,D,国语歌曲,,,
"又是一季春来早
",,D,国语歌曲,,,
在一起,,D,国语歌曲,,羽·泉,
怎样,,D,国语歌曲,,戴佩妮,
"贞观长歌
",,D,国语歌曲,,,
真的好想你,,D,国语歌曲,,周冰倩,
征服,,D,国语歌曲,,那英,
"祝你平安
",,D,国语歌曲,,,
走进新时代,,D,国语歌曲,,张也,
"走了这么久你变了没有
",,D,国语歌曲,,,
最美的期待,,D,国语歌曲,,周笔畅,
"Best Day Of My Life
",,D,外语歌曲,,,
"Dive With Me
",,D,外语歌曲,,,
Forza Gesù,,D,外语歌曲,《加油耶稣》,,
FOOTPRINTS IN THE SAND,,D,外语歌曲,,ピクセルビー,
"Kung Fu Fighting
",,D,外语歌曲,,,
hectopascal,,D,外语歌曲,《终将成为你》ED,,
"Hotel California
",,D,外语歌曲,,,
Inside Identity,,D,外语歌曲,,,
"It's My Life
",,D,外语歌曲,,,
Let Me Be With You,,D,外语歌曲,《人型电脑天使心》OP,,
Love Is All,,D,外语歌曲,,Vann Johnson,
magnet,,D,外语歌曲,,初音ミク,
"Moves Like Jagger
",,D,外语歌曲,,,
My Kind,,D,外语歌曲,,Hilary Duff,
"My Soul,Your Beats!",,D,外语歌曲,《Angel Beats!》OP,,
Nothing's Gonna Change My Love,,D,外语歌曲,,,
One Way Or Another,,D,外语歌曲,,Blondie,
"Real Force
",,D,外语歌曲,,,
Resuscitated Hope,,D,外语歌曲,《GOSICK》ED,,
Sincerely,,D,外语歌曲,《紫罗兰永恒花园》OP,,
Sofía,,D,外语歌曲,,Alvaro Soler,
SOUND OF DESTINY,,D,外语歌曲,,水樹奈々,
"Sound of Silence
",,D,外语歌曲,,,
"Sugar
",,D,外语歌曲,,,
Time after time～花舞う街で～,,D,外语歌曲,,,
"Time To Say Goodbye
",,D,外语歌曲,,,
"The Day You Went Away
",,D,外语歌曲,,,
Try,,D,外语歌曲,,P!nk,
"Violet Snow
",,D,外语歌曲,,,
美しきもの,,D,外语歌曲,,,
"変わり行く世界の為に
",,D,外语歌曲,,,
歌舞伎町の女王,かぶきまちのじょおう,D,外语歌曲,,,
かくしん的☆めたまるふぉ～ぜっ!,,D,外语歌曲,《干物妹小埋》OP,,
君さえいなけりゃ,,D,外语歌曲,,,
原風景,げんふうけい,D,外语歌曲,,まももP,
"ケセラセラ
",,D,外语歌曲,,,
"この世界の片隅で
",,D,外语歌曲,,,
ずっとBe with you,,D,外语歌曲,《潜行吧！奈亚子》ED,,
"旅立ちの日に…
",,D,外语歌曲,,,
鳥の詩,,D,外语歌曲,,,
"ドラえもんのうた
",,D,外语歌曲,,,
"光の季節
",,D,外语歌曲,,,
"ふたりのきもちのほんとのひみつ
",,D,外语歌曲,,,
まどろみの約束,,D,外语歌曲,《冰果》ED,,
夕日坂,ゆうひさか,D,外语歌曲,,,
소녀시대,,D,外语歌曲,《少女时代》,少女时代,
"After All ～綴る想い～ (Instrumental)
",,D,纯音乐,,,
Dear Childhood friend,,D,纯音乐,,,
"Lengsel - Eternal Mind -
",,D,纯音乐,,,
"RETURN PATH
",,D,纯音乐,,,
"Summer
",,D,纯音乐,,,
"Theme -ダメな私に恋してください-
",,D,纯音乐,,,
"With An Orchid
",,D,纯音乐,,,
WORKING!!,,D,纯音乐,《魔法使之夜》BGM,,
おかえりなさいませ!アーサー様,,D,纯音乐,,,
曇りのち晴れ,くもりのちはれ,D,纯音乐,,,
東風,こち,D,纯音乐,,,
"対決のテーマ
",,D,纯音乐,,,
"爱啦啦
",,D#,国语歌曲,,,
"把悲伤留给自己
",,D#,国语歌曲,,,
"百姓的事儿牵着走
",,D#,国语歌曲,,,
"北京北京
",,D#,国语歌曲,,,
"布拉格广场
",,D#,国语歌曲,,,
"曾经心痛
",,D#,国语歌曲,,,
"长相依
",,D#,国语歌曲,,,
超有感,,D#,国语歌曲,,黄鸿升,
"二十年后再相会
",,D#,国语歌曲,,,
恭喜发财,,D#,国语歌曲,,卓依婷,
"故乡的云
",,D#,国语歌曲,,,
好一朵茉莉花,,D#,国语歌曲,,宋祖英,好一朵茉莉花
红旗飘飘,,D#,国语歌曲,,孙楠,
"后来
",,D#,国语歌曲,,,
呼唤,,D#,国语歌曲,《大长今》主题曲,汤灿,
"糊涂的爱
",,D#,国语歌曲,,,
欢天喜地,,D#,国语歌曲,,韩旭,
回忆的阁楼,,D#,国语歌曲,,郭静,
寂寞让我如此美丽,,D#,国语歌曲,,,
酒醉的探戈,,D#,国语歌曲,,邓丽君,
蓝莲花,,D#,国语歌曲,,许巍,
"楼兰姑娘
",,D#,国语歌曲,,,
绿光,,D#,国语歌曲,,孙燕姿,
难以抗拒你容颜,,D#,国语歌曲,,张信哲,
女人花,,D#,国语歌曲,,梅艳芳,
诺言,,D#,国语歌曲,,毛阿敏,
七里香,,D#,国语歌曲,,周杰伦,
起风了,,D#,国语歌曲,,吴青峰,
轻轻的告诉你,,D#,国语歌曲,,杨钰莹,
让她降落,,D#,国语歌曲,,何璐,
"让我们荡起双桨
",,D#,国语歌曲,,,
弱水三千,,D#,国语歌曲,,周传雄,
纤夫的爱,,D#,国语歌曲,,尹相杰&于文华,
三百六十五个祝福,,D#,国语歌曲,,蔡国庆,
天路,,D#,国语歌曲,,韩红,
铁齿铜牙纪晓岚,,D#,国语歌曲,《铁齿铜牙纪晓岚》ED,戴娆,
"通天大道宽又阔
",,D#,国语歌曲,,,
突然想起你,,D#,国语歌曲,,萧亚轩,
为你,,D#,国语歌曲,,陈明,
"稳稳的幸福
",,D#,国语歌曲,,,
我的梦,,D#,国语歌曲,,张靓颖,
我像雪花天上来,,D#,国语歌曲,,阎维文,
无愧于心,,D#,国语歌曲,,孙楠,
希望,,D#,国语歌曲,《大长今》ED,,
想说爱你不容易,,D#,国语歌曲,,王志文,
新贵妃醉酒,,D#,国语歌曲,,李玉刚,
羞答答的玫瑰静悄悄地开,,D#,国语歌曲,,孟庭苇,
"雪花
",,D#,国语歌曲,,,
"亚洲雄风
",,D#,国语歌曲,,,
要嫁就嫁灰太狼,,D#,国语歌曲,,周艳泓,
"远方的客人请你留下来
",,D#,国语歌曲,,,
一万个理由,,D#,国语歌曲,,郑源,
永远永远,,D#,国语歌曲,《风云-雄霸天下》ED,,
再遇见,,D#,国语歌曲,,苏打绿,
在梦中,,D#,国语歌曲,,彭丽丽,
知道不知道,,D#,国语歌曲,,刘若英,
"走过咖啡屋
",,D#,国语歌曲,,,
"After All ～綴る想い～
",,D#,外语歌曲,,,
Apologize,,D#,外语歌曲,,OneRepublic,
Demons,,D#,外语歌曲,,Imagine Dragons,
"Dream It Possible
",,D#,外语歌曲,,,
"Long Lost Penpal
",,D#,外语歌曲,,,
Million of Bravery,,D#,外语歌曲,《扩散性百万亚瑟王》主题曲,,
"My All
",,D#,外语歌曲,,,
My Sweet Shelter,,D#,外语歌曲,《我们大家的河合庄》ED,,
"Nevada
",,D#,外语歌曲,,,
Rage Your Dream,,D#,外语歌曲,《头文字D》ED,,
"reunion
",,D#,外语歌曲,,,
"Rolling In The Deep
",,D#,外语歌曲,,,
Scarborough Fair,,D#,外语歌曲,,Hayley Westenra,
"Trouble Is A Friend
",,D#,外语歌曲,,,
Weight of the World/壊レタ世界ノ歌,,D#,外语歌曲,,河野マリナ,
"You're Beautiful
",,D#,外语歌曲,,,
"You Should Get Over Me
",,D#,外语歌曲,,,
ウラオモテ・フォーチュン,,D#,外语歌曲,《月刊少女野崎君》ED,,
"おジャ魔女カーニバル!!
",,D#,外语歌曲,,,
君にふれて,,D#,外语歌曲,《终将成为你》OP,,
コネクト,,D#,外语歌曲,,,
"残酷な天使のテーゼ
",,D#,外语歌曲,,,
"ハレ晴レユカイ
",,D#,外语歌曲,,,
"瞳をとじて
",,D#,外语歌曲,,,
"回レ! 雪月花
",,D#,外语歌曲,,,
"ロマンティックあげるよ
",,D#,外语歌曲,,,
"Cocoon
",,D#,纯音乐,,,
Ephemeral Entity,,D#,纯音乐,,,
hometown,,D#,纯音乐,,まももP,
"The Magnificent Seven
",,D#,纯音乐,,,
"运动员进行曲
",,D#,纯音乐,,,
殻ノ少女,からのしょうじょ,D#,纯音乐,,,
"恋におちたら image version
",,D#,纯音乐,,,
"風のとおり道
",,D#,纯音乐,,,
夏影,なつかげ,D#,纯音乐,,,
"ほどほどの栄光あれ
",,D#,纯音乐,,,
Happy Baby,,E,国语歌曲,,青春美少女,
阿里山的姑娘,,E,国语歌曲,,李娜,
爱如空气,,E,国语歌曲,,孙俪,
爱如潮水,,E,国语歌曲,,张信哲,
爱我中华,,E,国语歌曲,,宋祖英,
"北极雪
",,E,国语歌曲,,,
冰菊物语,,E,国语歌曲,,李宇春,
曾经的你,,E,国语歌曲,,许巍,
传奇,,E,国语歌曲,,王菲,
扯,,E,国语歌曲,,周杰伦,
春风十里,,E,国语歌曲,,鹿先森乐队,
春天里,,E,国语歌曲,,汪峰,
单身情歌,,E,国语歌曲,,林志炫,
董小姐,,E,国语歌曲,,宋东野,
父亲,,E,国语歌曲,,筷子兄弟,
光辉岁月,,E,国语歌曲,,BEYOND,
画心,,E,国语歌曲,,张靓颖,
家园,,E,国语歌曲,《闯关东》ED,刘欢&宋祖英,
可爱的一朵玫瑰花,,E,国语歌曲,,吕继宏,
恋曲1990,,E,国语歌曲,,罗大佑,
美丽的姑娘,,E,国语歌曲,,蒋大为,
"明明白白我的心
",,E,国语歌曲,,,
茉莉花,,E,国语歌曲,,宋祖英,好一朵美丽的茉莉花
那个女孩,,E,国语歌曲,,陶喆&卢广仲,
你走你的路,,E,国语歌曲,,江淑娜&何继民,
漂浮地铁,,E,国语歌曲,,李宇春,
"牵挂你的人是我
",,E,国语歌曲,,,
青藏高原,,E,国语歌曲,,韩红,
清风徐来,,E,国语歌曲,,王菲,
"生生世世爱
",,E,国语歌曲,,,
"实心汉子
",,E,国语歌曲,,,
水中花,,E,国语歌曲,,谭咏麟,
桃花朵朵开,,E,国语歌曲,,阿牛,
"透过开满鲜花的月亮
",,E,国语歌曲,,,
突然想爱你,,E,国语歌曲,,许茹芸,
晚霞中的红蜻蜓,,E,国语歌曲,,杨钰莹,
我怀念的,,E,国语歌曲,,孙燕姿,
我只在乎你,,E,国语歌曲,,邓丽君,
我悄悄地蒙上你的眼睛,,E,国语歌曲,,毛宁&杨钰莹,
舞娘,,E,国语歌曲,,蔡依林,
夕阳红,,E,国语歌曲,,佟铁鑫,
像风一样自由,,E,国语歌曲,,许巍,
想你的夜,,E,国语歌曲,,关喆,
鞋子特大号,,E,国语歌曲,,周杰伦,
样样红,,E,国语歌曲,,黄安,
一场雨落下来要用多久,,E,国语歌曲,,鹿先森乐队,
"一个师傅仨徒弟
",,E,国语歌曲,,,
一个像夏天一个像秋天,,E,国语歌曲,,范玮琪,
"永远的奥特曼
",,E,国语歌曲,,,
有点甜,,E,国语歌曲,,汪苏泷,
月,,E,国语歌曲,,好妹妹,
约定,,E,国语歌曲,,周蕙,
在那东山顶上,,E,国语歌曲,,谭晶,
至少还有你,,E,国语歌曲,,林忆莲,
终于等到你,,E,国语歌曲,,张靓颖,
追梦人,,E,国语歌曲,,凤飞飞,
走四方,,E,国语歌曲,,韩磊,
adrenaline!!!,,E,外语歌曲,,,
"Barbie Girl
",,E,外语歌曲,,,
"BEAUTIFUL DAYS
",,E,外语歌曲,,,
"Butter-Fly
",,E,外语歌曲,,,
Can't Wait,,E,外语歌曲,,,
"Counting Stars
",,E,外语歌曲,,,
Die Young,,E,外语歌曲,,Kesha,
Fly Away,,E,外语歌曲,,TheFatRat,
Gee,,E,外语歌曲,,少女时代,
"Hello Mr.my yesterday
",,E,外语歌曲,,,
"I Just Wanna Run
",,E,外语歌曲,,,
I wish,,E,外语歌曲,《数码宝贝》ED,,
irony,,E,外语歌曲,《我的妹妹哪有这么可爱》OP,,
Letting Go,,E,外语歌曲,,Jo De La Rosa,
Innocence,,E,外语歌曲,《刀剑神域》OP,,
Messy Girl,,E,外语歌曲,,Morri3on,
"MR.RAINDROP
",,E,外语歌曲,,,
"My Heart Will Go On
",,E,外语歌曲,,,
PLANET,,E,外语歌曲,,ラムジ,
"PONPONPON
",,E,外语歌曲,,,
Secret,,E,外语歌曲,,茶太,
Shiny tale,,E,外语歌曲,《男子高中生的日常》OP,,
STYX HELIX,,E,外语歌曲,《Re:从零开始异世界生活》ED,,
"Tell the World
",,E,外语歌曲,,,
The One That Got Away,,E,外语歌曲,,Katy Perry,
ultra soul,,E,外语歌曲,,B’z,
"UNDER THE BLUE SKY
",,E,外语歌曲,,,
"We Don't Talk Anymore
",,E,外语歌曲,,,
"What Makes You Beautiful
",,E,外语歌曲,,,
"思い出は億千万
",,E,外语歌曲,,,
歌に形はないけれど,,E,外语歌曲,,,
"おちゃめ機能
",,E,外语歌曲,,,
可愛くなりたい,,E,外语歌曲,,,
恋は渾沌の隷也,こいはこんとんのしもべなり,E,外语歌曲,《潜行吧！奈亚子》OP,,
"届かない恋
",,E,外语歌曲,,,
同窓会,どうそうかい,E,外语歌曲,,,
白金ディスコ,,E,外语歌曲,,,
"ハナミズキ
",,E,外语歌曲,,,
"二言目
",,E,外语歌曲,,,
"冒険でしょでしょ？
",,E,外语歌曲,,,
"僕らは今のなかで
",,E,外语歌曲,,,
"恋愛サーキュレーション
",,E,外语歌曲,,,
リライト,,E,外语歌曲,《钢之炼金术师》OP,,
Fly Away,,E,纯音乐,,TheFatRat,
"Like a dog
",,E,纯音乐,,,
Monody,,E,纯音乐,,TheFatRat,
"The Legend
",,E,纯音乐,,,
雏菊,,E,纯音乐,《雏菊》主题曲,,
"想いの寄り方は不均一
",,E,纯音乐,,,
"風の少年
",,E,纯音乐,,,
"きっとまたいつか (Album Version)
",,E,纯音乐,,,
阿拉木汗,,F,国语歌曲,,殷秀梅&戴玉强,
爱情转移,,F,国语歌曲,,陈奕迅,
爱 因为在心中,,F,国语歌曲,,,
爱的主打歌,,F,国语歌曲,,萧亚轩,
暗香,,F,国语歌曲,,沙宝亮,
敖包相会,,F,国语歌曲,,蒋大为,
"草原之夜
",,F,国语歌曲,,,
潮湿的心,,F,国语歌曲,,甘萍,
窗外,,F,国语歌曲,,李琛,
"春水流
",,F,国语歌曲,,,
"大风车
",,F,国语歌曲,,,
大中国,,F,国语歌曲,,高枫,
稻草人,,F,国语歌曲,,林志颖,
"得意洋洋
",,F,国语歌曲,,,
等你爱我,,F,国语歌曲,,陈明,
飞天,,F,国语歌曲,,含笑,
"风雨彩虹铿锵玫瑰
",,F,国语歌曲,,,
"海阔天空
",,F,国语歌曲,,,
"好日子
",,F,国语歌曲,,,
"好想你
",,F,国语歌曲,,,
红星照我去战斗,,F,国语歌曲,,李双江,
花满天,,F,国语歌曲,,刘航,
"回家的人
",,F,国语歌曲,,,
"火火的歌谣
",,F,国语歌曲,,,
霍元甲,,F,国语歌曲,,周杰伦,
"江山无限
",,F,国语歌曲,,,
看我72变,,F,国语歌曲,,蔡依林,
辣妹子,,F,国语歌曲,,宋祖英,
恋人未满,,F,国语歌曲,,S.H.E,
马铃儿响来玉鸟儿唱,,F,国语歌曲,,胡松华&杜丽华,
那些年,,F,国语歌曲,,胡夏,
你怎么说,,F,国语歌曲,,邓丽君,
如果也许,,F,国语歌曲,,梁欢,
三套车,,F,国语歌曲,,蒋大为,
珊瑚颂,,F,国语歌曲,,宋祖英,
生命的挑战,,F,国语歌曲,,水木年华,
天堂,,F,国语歌曲,,腾格尔,
晚秋,,F,国语歌曲,,毛宁,
我的祖国,,F,国语歌曲,,宋祖英,
"我听过你的歌
",,F,国语歌曲,,,
我悄悄地蒙上你的眼睛,,F,国语歌曲,,王志文&江珊,
无地自容,,F,国语歌曲,,黑豹乐队,
"逍遥游
",,F,国语歌曲,,,
烟花三月,,F,国语歌曲,,吴涤清,
"一路顺风
",,F,国语歌曲,,,
"一路向北
",,F,国语歌曲,,,
"因为爱情
",,F,国语歌曲,,,
绽放爱,,F,国语歌曲,,潘辰,
"长大后我就成了你
",,F,国语歌曲,,,
这个年纪,,F,国语歌曲,,齐一,
拯救,,F,国语歌曲,,孙楠,
祝你一路顺风,,F,国语歌曲,,吴奇隆,
最后的倾诉,,F,国语歌曲,,韩磊,
Angelina,,F,外语歌曲,,Lou Bega,
"Be What You Wanna Be
",,F,外语歌曲,,,
crossing field,,F,外语歌曲,《刀剑神域》OP,,
Free Loop,,F,外语歌曲,,Daniel Powter,
"Happiness
",,F,外语歌曲,,,
